# gitter v1.1.1 data file generated on Wed May 29 03:24:35 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	2077	0.2009	S,C
1	2	612	0.8288	
1	3	578	0.8291	
1	4	0	NA	
1	5	603	0.7617	
1	6	799	0.8301	
1	7	270	0.7943	
1	8	661	0.8419	
1	9	598	0.7866	
1	10	0	NA	
1	11	886	0.9091	
1	12	0	NA	
1	13	745	0.8412	
1	14	877	0.7807	
1	15	839	0.8164	
1	16	1152	0.8106	
1	17	705	0.8216	
1	18	1051	0.793	
1	19	0	NA	
1	20	1198	0.7966	
1	21	0	NA	
1	22	0	NA	
1	23	870	0.8665	
1	24	671	0.1707	C
2	1	839	0.8408	
2	2	434	0.759	
2	3	0	NA	
2	4	0	NA	
2	5	0	NA	
2	6	961	0.8471	
2	7	788	0.9141	
2	8	471	0.8763	
2	9	267	0.9232	
2	10	0	NA	
2	11	72	1.0357	
2	12	1530	0.8598	
2	13	878	0.832	
2	14	517	0.8747	
2	15	0	NA	
2	16	0	NA	
2	17	897	0.8465	
2	18	658	0.9179	
2	19	0	NA	
2	20	1274	0.864	
2	21	0	NA	
2	22	0	NA	
2	23	0	NA	
2	24	0	NA	
3	1	0	NA	
3	2	0	NA	
3	3	0	NA	
3	4	560	0.8625	
3	5	0	NA	
3	6	0	NA	
3	7	21	0.695	
3	8	0	NA	
3	9	0	NA	
3	10	0	NA	
3	11	754	0.8215	
3	12	0	NA	
3	13	0	NA	
3	14	0	NA	
3	15	485	0.9024	
3	16	0	NA	
3	17	0	NA	
3	18	820	0.8703	
3	19	0	NA	
3	20	104	0.7334	
3	21	16	0.8852	
3	22	0	NA	
3	23	0	NA	
3	24	0	NA	
4	1	1170	0.8275	
4	2	0	NA	
4	3	658	0.8742	
4	4	1017	0.8589	
4	5	646	0.8257	
4	6	1175	0.7912	
4	7	1245	0.7593	
4	8	0	NA	
4	9	1193	0.892	
4	10	1181	0.8798	
4	11	675	0.8195	
4	12	1678	0.7368	
4	13	0	NA	
4	14	662	0.869	
4	15	733	0.8797	
4	16	864	0.9211	
4	17	679	0.8176	
4	18	1261	0.8965	
4	19	0	NA	
4	20	1058	0.885	
4	21	1023	0.7994	
4	22	0	NA	
4	23	0	NA	
4	24	1471	0.9107	
5	1	0	NA	
5	2	0	NA	
5	3	0	NA	
5	4	0	NA	
5	5	0	NA	
5	6	1491	0.8734	
5	7	0	NA	
5	8	0	NA	
5	9	1017	0.8141	
5	10	0	NA	
5	11	1074	0.8134	
5	12	0	NA	
5	13	608	0.9058	
5	14	0	NA	
5	15	1176	0.8275	
5	16	1283	0.8763	
5	17	26	0.2931	C
5	18	1153	0.8893	
5	19	1205	0.7937	
5	20	1000	0.7939	
5	21	17	0.7331	
5	22	84	0.8237	
5	23	0	NA	
5	24	1301	0.7461	
6	1	0	NA	
6	2	1412	0.8008	
6	3	0	NA	
6	4	42	0.7388	
6	5	1211	0.703	
6	6	0	NA	
6	7	861	0.7354	
6	8	1154	0.882	
6	9	1543	0.8101	
6	10	0	NA	
6	11	0	NA	
6	12	0	NA	
6	13	1094	0.8076	
6	14	0	NA	
6	15	0	NA	
6	16	1705	0.812	
6	17	64	0.9206	
6	18	1295	0.8387	
6	19	1525	0.8166	
6	20	0	NA	
6	21	0	NA	
6	22	0	NA	
6	23	1280	0.8152	
6	24	0	NA	
7	1	0	NA	
7	2	0	NA	
7	3	51	0.8971	
7	4	1343	0.9154	
7	5	0	NA	
7	6	0	NA	
7	7	1774	0.8994	
7	8	0	NA	
7	9	9758	0.7806	
7	10	30	0.7689	
7	11	0	NA	
7	12	0	NA	
7	13	937	0.8579	
7	14	0	NA	
7	15	1244	0.8394	
7	16	0	NA	
7	17	9269	0.8334	
7	18	0	NA	
7	19	0	NA	
7	20	0	NA	
7	21	1038	0.8766	
7	22	1139	0.9102	
7	23	0	NA	
7	24	0	NA	
8	1	0	NA	
8	2	14	0.9433	
8	3	884	0.7994	
8	4	0	NA	
8	5	0	NA	
8	6	745	0.8281	
8	7	818	0.9383	
8	8	0	NA	
8	9	1168	0.8564	
8	10	0	NA	
8	11	0	NA	
8	12	1338	0.7638	
8	13	0	NA	
8	14	1556	0.8825	
8	15	1302	0.8893	
8	16	0	NA	
8	17	1249	0.8618	
8	18	1554	0.9146	
8	19	1142	0.8085	
8	20	807	0.8642	
8	21	0	NA	
8	22	0	NA	
8	23	987	0.8874	
8	24	1456	0.8433	
9	1	53	0.7331	
9	2	1453	0.8399	
9	3	0	NA	
9	4	1003	0.8213	
9	5	994	0.7708	
9	6	1359	0.8983	
9	7	1191	0.8206	
9	8	0	NA	
9	9	1249	0.8021	
9	10	1266	0.9181	
9	11	1000	0.8575	
9	12	0	NA	
9	13	0	NA	
9	14	0	NA	
9	15	1244	0.8322	
9	16	0	NA	
9	17	94	0.6954	
9	18	28	0.3668	C
9	19	0	NA	
9	20	1347	0.8449	
9	21	955	0.8708	
9	22	0	NA	
9	23	1014	0.8851	
9	24	0	NA	
10	1	1082	0.7119	
10	2	0	NA	
10	3	0	NA	
10	4	1565	0.8498	
10	5	0	NA	
10	6	0	NA	
10	7	1070	0.8407	
10	8	0	NA	
10	9	822	0.9037	
10	10	1254	0.8492	
10	11	1277	0.883	
10	12	1112	0.7993	
10	13	0	NA	
10	14	0	NA	
10	15	977	0.949	
10	16	1553	0.8687	
10	17	1147	0.7608	
10	18	0	NA	
10	19	0	NA	
10	20	0	NA	
10	21	1046	0.8471	
10	22	0	NA	
10	23	1099	0.8701	
10	24	0	NA	
11	1	1081	0.8696	
11	2	1720	0.8644	
11	3	0	NA	
11	4	46	0.8458	
11	5	0	NA	
11	6	1518	0.8654	
11	7	0	NA	
11	8	69	0.904	
11	9	79	0.8816	
11	10	1616	0.9183	
11	11	996	0.9173	
11	12	54	0.8222	
11	13	748	0.854	
11	14	1320	0.8907	
11	15	1570	0.813	
11	16	1367	0.8676	
11	17	1256	0.9307	
11	18	1564	0.8928	
11	19	1242	0.9087	
11	20	0	NA	
11	21	1450	0.8194	
11	22	49	0.8619	
11	23	0	NA	
11	24	1225	0.8097	
12	1	1235	0.9003	
12	2	1047	0.8723	
12	3	958	0.7982	
12	4	1219	0.7922	
12	5	1046	0.8565	
12	6	1015	0.8655	
12	7	1196	0.9382	
12	8	1123	0.9181	
12	9	1319	0.8166	
12	10	0	NA	
12	11	1236	0.9159	
12	12	1453	0.9146	
12	13	1427	0.8865	
12	14	1394	0.8953	
12	15	1597	0.8644	
12	16	0	NA	
12	17	0	NA	
12	18	744	0.8828	
12	19	1699	0.9057	
12	20	1165	0.8492	
12	21	1311	0.8846	
12	22	0	NA	
12	23	0	NA	
12	24	0	NA	
13	1	977	0.8	
13	2	0	NA	
13	3	480	0.9059	
13	4	2	25.1327	
13	5	1214	0.8262	
13	6	1797	0.9004	
13	7	0	NA	
13	8	0	NA	
13	9	1428	0.8404	
13	10	0	NA	
13	11	1532	0.8915	
13	12	2008	0.8694	
13	13	0	NA	
13	14	0	NA	
13	15	842	0.9	
13	16	88	1.0173	
13	17	123	0.9364	
13	18	110	0.8138	
13	19	1263	0.8208	
13	20	1826	0.8443	
13	21	1115	0.8911	
13	22	26	0.6101	
13	23	1281	0.8366	
13	24	0	NA	
14	1	1472	0.8498	
14	2	1230	0.8159	
14	3	1456	0.8378	
14	4	0	NA	
14	5	1497	0.7972	
14	6	1432	0.8111	
14	7	1571	0.878	
14	8	971	0.8313	
14	9	1848	0.8632	
14	10	0	NA	
14	11	8	0.3288	C
14	12	0	NA	
14	13	1541	0.8368	
14	14	1601	0.8092	
14	15	0	NA	
