# gitter v1.1.1 data file generated on Wed May 29 03:23:38 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	1781	0.5489	C
1	2	985	0.947	
1	3	519	0.9278	
1	4	0	NA	
1	5	2565	0.748	
1	6	0	NA	
1	7	1561	0.7764	
1	8	1280	0.8594	
1	9	0	NA	
1	10	0	NA	
1	11	1147	0.8112	
1	12	0	NA	
1	13	2416	0.8131	
1	14	1512	0.7656	
1	15	1553	0.7511	
1	16	971	0.9432	
1	17	1556	0.732	
1	18	3515	0.8446	
1	19	1387	0.7907	
1	20	0	NA	
1	21	1058	0.9326	
1	22	0	NA	
1	23	0	NA	
1	24	195	0.2064	C
2	1	2291	0.8194	
2	2	1563	0.862	
2	3	1324	0.7359	
2	4	0	NA	
2	5	0	NA	
2	6	1310	0.7861	
2	7	1935	0.8171	
2	8	1404	0.8534	
2	9	2044	0.8845	
2	10	0	NA	
2	11	1764	0.8042	
2	12	1489	0.6609	
2	13	2199	0.768	
2	14	912	0.8434	
2	15	1488	0.7872	
2	16	0	NA	
2	17	2510	0.7861	
2	18	322	0.9718	
2	19	0	NA	
2	20	713	0.8598	
2	21	0	NA	
2	22	0	NA	
2	23	0	NA	
2	24	946	0.8712	
3	1	0	NA	
3	2	0	NA	
3	3	0	NA	
3	4	0	NA	
3	5	0	NA	
3	6	0	NA	
3	7	0	NA	
3	8	1429	0.8211	
3	9	766	0.9089	
3	10	0	NA	
3	11	960	0.9059	
3	12	0	NA	
3	13	1969	0.7714	
3	14	0	NA	
3	15	0	NA	
3	16	967	0.8854	
3	17	0	NA	
3	18	17	0.7861	
3	19	0	NA	
3	20	1973	0.6576	
3	21	0	NA	
3	22	1832	0.8644	
3	23	0	NA	
3	24	0	NA	
4	1	3066	0.8711	
4	2	0	NA	
4	3	1568	0.898	
4	4	768	0.9635	
4	5	1943	0.7522	
4	6	1116	0.7824	
4	7	1590	0.8422	
4	8	0	NA	
4	9	2826	0.8569	
4	10	1802	0.7652	
4	11	3093	0.8731	
4	12	2066	0.7695	
4	13	0	NA	
4	14	380	0.7696	
4	15	1265	0.8493	
4	16	1930	0.8615	
4	17	2232	0.7787	
4	18	1251	0.7798	
4	19	1401	0.8152	
4	20	1081	0.9129	
4	21	2259	0.8445	
4	22	0	NA	
4	23	0	NA	
4	24	702	0.928	
5	1	0	NA	
5	2	0	NA	
5	3	0	NA	
5	4	0	NA	
5	5	0	NA	
5	6	1711	0.8215	
5	7	0	NA	
5	8	0	NA	
5	9	3479	0.8518	
5	10	1306	0.8058	
5	11	1891	0.7878	
5	12	0	NA	
5	13	564	0.9361	
5	14	0	NA	
5	15	1976	0.6271	
5	16	782	0.8597	
5	17	633	0.8268	
5	18	824	0.9059	
5	19	0	NA	
5	20	1804	0.8573	
5	21	1002	0.7572	
5	22	2372	0.6885	
5	23	0	NA	
5	24	1058	0.8935	
6	1	0	NA	
6	2	0	NA	
6	3	0	NA	
6	4	0	NA	
6	5	1906	0.8876	
6	6	0	NA	
6	7	2369	0.8377	
6	8	3052	0.8859	
6	9	1078	0.847	
6	10	0	NA	
6	11	0	NA	
6	12	0	NA	
6	13	3726	0.8937	
6	14	1560	0.6972	
6	15	2389	0.7645	
6	16	1997	0.7811	
6	17	1642	0.8454	
6	18	1732	0.8221	
6	19	1425	0.8471	
6	20	1101	0.8717	
6	21	1273	0.7359	
6	22	0	NA	
6	23	3169	0.853	
6	24	1531	0.8038	
7	1	3612	0.8844	
7	2	1085	0.8401	
7	3	2553	0.7812	
7	4	1537	0.7565	
7	5	0	NA	
7	6	2919	0.8679	
7	7	3046	0.9161	
7	8	3665	0.8683	
7	9	1433	0.7732	
7	10	0	NA	
7	11	0	NA	
7	12	1168	0.8766	
7	13	3612	0.9041	
7	14	0	NA	
7	15	2950	0.8923	
7	16	0	NA	
7	17	0	NA	
7	18	1578	0.8039	
7	19	0	NA	
7	20	226	0.9433	
7	21	1942	0.6545	
7	22	1143	0.5521	C
7	23	1018	0.4156	C
7	24	0	NA	
8	1	3399	0.8597	
8	2	2400	0.8571	
8	3	3817	0.8446	
8	4	2137	0.8506	
8	5	0	NA	
8	6	2224	0.8804	
8	7	2796	0.8864	
8	8	0	NA	
8	9	3058	0.87	
8	10	0	NA	
8	11	3394	0.9177	
8	12	3700	0.9059	
8	13	0	NA	
8	14	2284	0.8914	
8	15	3222	0.8983	
8	16	0	NA	
8	17	2948	0.8521	
8	18	2038	0.6978	
8	19	1669	0.7685	
8	20	2709	0.8868	
8	21	0	NA	
8	22	1074	0.4073	C
8	23	3207	0.6022	
8	24	2247	0.7856	
9	1	2459	0.8398	
9	2	3233	0.8886	
9	3	0	NA	
9	4	3468	0.8912	
9	5	3250	0.8768	
9	6	2949	0.8504	
9	7	3356	0.8985	
9	8	0	NA	
9	9	0	NA	
9	10	1475	0.8354	
